title,date,link,keyword1,keyword2,keyword3,type,summary,details
"An External Method of Estimating Lateral Forces for a Da Vinci Xi Surgical Instrument","October 13, 2024","https://ieeexplore.ieee.org/abstract/document/10652440/","Surgical Instruments","Lateral Force","Da Vinci Xi","Conference Paper","This study presents a comprehensive investigation into the development of an external method for estimating lateral forces at the custom trocar clamp of the da Vinci Xi surgical robot arm.","The research focuses on the mechanical, electrical, and software design aspects involved in data collection, detailing the meticulous attention paid to strain gauge placement and the integration of custom strain modules. A detailed analysis of the collected data is conducted, emphasizing the importance of data preprocessing techniques such as alignment, truncation, and smoothing. The study highlights the challenges encountered and the strategies employed to overcome them, leading to the derivation of discrete-time state-space models tailored to voltage-force and strain-force data. The performance of various model forms and identification methods, including N4SID and SSEST, is evaluated, with training fit reaching 95.49% and validation fit at 93.55%, demonstrating high accuracy and generalization capability. The findings underscore the importance of considering feedthrough components in model development, and the study contributes valuable insights into the integration of force sensing technologies into surgical robotics. These advancements pave the way for enhanced surgical precision and safety, ultimately benefiting patients and healthcare providers alike."
"Design and Simulation of Short Circuit Fault Detection in DC Power Supply using Daubechies Wavelet and Convolutional Neural Networks","August 13, 2024","https://ieeexplore.ieee.org/abstract/document/10652523/","CNN","Short Circuit","Direct Current Power","Conference Paper","Power supply systems are an essential component of current infrastructure and must operate reliably.","Short-circuit defects pose a danger to power supply stability and may potentially result in equipment damage and system outages. This research presents a novel approach for predicting and detecting short circuit faults in power supply systems by combining the Daubechies wavelet transform with convolutional neural networks (CNNs). The researcher will make use of MATLAB Simulink and focuses on the design and simulation with short circuit faults introduced at known points of linear power supplies, boost converters, and buck converters. The voltage and current from the simulations were exported and then fed to Python with the use of PyWavelet for mathematical analysis. The researcher will make use of the db4 transform for the Daubechies wavelet. This decomposes the signals into detail coefficients at various scales, which are then converted into 1D vectors to be flattened and used for training with CNN. Based on the data and results, this shows 94.22% accuracy and 94.67% mAP (mean average precision) at 35 epochs. The researchers concluded that this study was feasible and reliable for implementation in real-world scenarios."
"An Ultra-low Power Thermo-Electric Harvester in 45nm CMOS Process","August 23-25, 2021","https://ieeexplore.ieee.org/document/9550924","Ring oscillators","Wireless communication","Charge pumps","Conference Paper","An ultra‐low power thermoelectric harvester implemented in 45nm CMOS (Complementary Metal Oxide Semiconductor) process is presented in this paper. With the increasing demand of using low voltage portable devices and wireless systems, energy harvesting has become an attractive approach to overcome the problems correlated with battery life and power source and TEG (Thermoelectric Generator) is the most commonly used among different types of energy scavengers. The input of the system will be coming from a TEG with a minimum input voltage of 100mV and will have an output of 1V (unregulated). The architecture for boosting such extremely low voltages is based on a modified Dickson charge pump using ring oscillator as clock signals. The ring oscillator is designed to operate in the subthreshold region employing a forward body bias design technique.","Presents an ultra‐low power thermoelectric harvester design using a modified Dickson charge pump."
"A Single-Ended Low Power 16-nm FinFET 6T SRAM Design With PDP Reduction Circuit","October 28, 2021","https://ieeexplore.ieee.org/document/9592684","SRAM cells","Built-in self-test","Low-power electronics","Journal","Memory arrays such as SRAM cells are responsible to the high‐power consumption of modern digital systems. This investigation proposed an SRAM utilizing an ultra‐low power cell, implemented using the 16‐nm FinFET CMOS technology. Voltage supply selection of the static RAM cells is done by gating the wordline (WL) enable. In standby mode, the cell wordline is not activated, where the cell operates on a lower voltage level so that the stored bit status is still retained. On the other hand, the normal mode is activated when the wordline of the cell is enabled. Theoretical derivations, all‐PVT‐corner post‐layout simulations, and measurement results were provided for verification of the functionality and performance. An SRAM of 1‐kb capacity is designed based on the propose cell. The on‐silicon measurement demonstrates 0.006832 fJ (energy/bit) at 500 MHz clock rate and 0.8 V supply.","Introduces a single‐ended low power 6T SRAM design with PDP reduction using 16‐nm FinFET technology."
"A 40.96-GOPS 196.8-mW Digital Logic Accelerator Used in DNN for Underwater Object Recognition","July 21, 2022","https://ieeexplore.ieee.org/document/9835025","Energy efficiency","CNN","Hardware acceleration","Journal","This investigation presents a digital logic accelerator (DLA) design of a neural network hardware that utilizes output reuse. The DLA is used in the detection mechanism of underwater objects that was deployed in an underwater vehicle. A modified YoloV3-tiny network was also implemented to detect more than 20 underwater objects. The proposed DLA uses processing units that have parallel architectures of output windows and output channels. Moreover, a new Inter-Controller is designed to control the direct memory access (DMA) together with a new Reshape module to improve the performance and power efficiency. A detailed description of the design as well as the measurements on silicon are presented. The chip is realized using a typical 180-nm CMOS process. It showed a performance result of 40.96 GOPS and a power consumption of 196.8 mW. The DLA was tested to demonstrate 19.88 frames per second and 40.96 GOPS.","Presents a DLA design for underwater object recognition using DNN with high performance metrics."
"Sub-0.2 pJ/Access Schmitt Trigger Based 1-kb 8T SRAM Implemented Using 40-nm CMOS Process","September 21-23, 2022","https://ieeexplore.ieee.org/document/9933116","Memory management","Random access memory","Schmitt trigger","Conference Paper","This investigation presents a low-power 1-kb SRAM, where memory cells are based on a skewed inverter design. More specifically, Schmitt trigger inverters are utilized in the cell to enhance read, write, and hold capabilities. To minimize power usage, a supply voltage selection circuit is included so that the supply voltage of the cells is chosen at different nodes. The 1-kb SRAM is designed using a typical 40-nm CMOS process. Post-layout simulations verify the low power consumption. The design operates at 100 MHz with an energy per bit of 5.968 fJ (at VDD=0.8 V) and an energy/access of 0.191 pJ.","Introduces a low-power 1-kb 8T SRAM design using Schmitt trigger inverters for enhanced performance."
"A Power Effective DLA for PBs in Opto-Electrical Neural Network Architecture","November 11-13, 2022","https://ieeexplore.ieee.org/document/10090303","Deep learning","Energy consumption","CMOS process","Conference Paper","Deep neural networks (DNN) have been widely used in real-time artificial intelligent (AI) applications because of effective hardware accelerators. However, most present designs either suffer from high area cost or low hardware usage. This paper presents a design of a digital logic accelerator (DLA) for use in processing blocks (PBs) of an opto-electrical neural network (OENN). The proposed DLA uses processing elements that detect underflow and overflow and increases processing time to resolve timing problems. Post-layout simulation results demonstrate a performance of 51.2 GOPS with a power consumption of 91.3 mW at 125 MHz, using a typical 40-nm CMOS process.","Presents a DLA design for opto-electrical neural networks with improved processing and energy efficiency."
"A Smart Building Design using Cyber-Physical System Modeling","January 24-26, 2023","https://ieeexplore.ieee.org/document/10080712","Air conditioning","Wireless sensor networks","Smart buildings","Conference Paper","Due to the demand for IoT technologies, the concept of cyber-physical systems (CPS) was explored in this paper. CPS refers to the coordination and communication between physical processes and computing elements. The researchers analyzed the STEER Hub building’s layout and evaluated the automation of facilities such as air conditioning, lighting, and surveillance. The network architecture was simulated in Cisco Packet Tracer while the systems were modeled in MATLAB® and Simulink®, with outputs provided for on/off conditions and motion intensity thresholds.","Presents a smart building design using CPS modeling for automation and sustainability."
"Design of an Exoskeleton Robot for Lower-Body Rehabilitation","January 24-26, 2023","https://ieeexplore.ieee.org/document/10080501","Legged locomotion","Visualization","Robots","Conference Paper","This paper presents a design of an exoskeleton robot to aid in the lower-body rehabilitation of patients with walking difficulties. Intended for individuals affected by spinal cord injuries, brain trauma, cerebral palsy, Parkinson’s disease, and stroke, the design uses software tools such as ErgoFellow, SoliWorks, and MATLAB for simulation and stress analysis, including Von Mises stress evaluation and model-based visualization of the robot’s movement.","Describes an exoskeleton robot design for lower-body rehabilitation with simulation and stress analysis."
"A 210-MHz 4.23 fJ Energy/Bit 1-kb Asymmetrical Schmitt-Trigger-Based SRAM Using 40-nm CMOS Process","June 27, 2023","https://ieeexplore.ieee.org/document/10164648","Transistors","Voltage measurement","Voltage","Journal","This brief introduces a 1-kb SRAM design that operates at low power utilizing asymmetrical Schmitt-trigger based cells. The asymmetrical design enhances hold, access, and write capabilities, supported by a power reduction and speed compensation circuit. Fabricated using a typical 40-nm TSMC CMOS technology, measurements indicate operation up to 210 MHz with 4.23 fJ energy per bit at 0.8 V, and an average delay reduced from 5.659 ns to 1.708 ns when the compensation circuit is enabled.","Introduces a 1-kb asymmetrical Schmitt-trigger SRAM design with low energy per bit and high speed."
"FPGA-Based Radio Transceiver Using the TV White Space for Disaster Response Operation","August 09, 2023","https://ieeexplore.ieee.org/abstract/document/10225776/","Radio transceivers","Communication systems","Television White Spaces","Conference Paper","In this paper an FPGA-based radio transceiver that operates on a frequency band from unused TV white space - specifically 512 MHz - 518 MHz - is presented.","The investigation was done to introduce an application of TV white space and FPGA hardware in creating a communication system for disaster rescue operations and in hopes of being used as material for further research. The transceiver used an FPGA Arty7-35T board which was programmed using the Verilog HDL. A QPSK scheme of modulation/demodulation was utilized to maximize the performance of the transceiver while considering the resources available from the chosen board. The transceiver was designed using model- based design approach and was implemented on FPGA. Appropriate functionality and performance tests were conducted. These include RTL schematic analysis and Verilog test benches, and evaluation of the bit-error-rate, signal-to- noise ratio, and root mean squared error. Finally, the transceiver's performance was assessed to have a BER of < 1, an RMSE of < 0.1 and an SNR of 24.3 dB."
"Developing an LTE Learning Material: Experiences from a University in a Developing Country","August 09, 2023","https://ieeexplore.ieee.org/abstract/document/10225892/","Learning systems","Laboratory Experiments","4G LTE","Conference Paper","Remote learning has increased, especially in engineering courses that require digital platforms, due to the COVID-19 pandemic.","However, the current curriculum doesn't emphasize telecommunications, making LTE principles difficult for students to understand. To address this issue, researchers developed a 4G LTE learning system using MATLAB LTE Toolbox. MATLAB's Live Scripts, Scripts, and App Designer implement nine lab experiments. A course framework was devised, encompassing essential competencies and laboratory experiments to teach LTE fundamentals. Additionally, a laboratory manual and instructor's guide were provided to support and assess the experiments. The manual's content, layout, and general satisfaction were all factors in the assessments made by both teachers and students."
"Schmitt-Trigger-Based Low Power SRAM Implemented Using 45-nm CMOS Technology","September 06, 2023","https://ieeexplore.ieee.org/abstract/document/10223482/","Temperature measurement","Monte Carlo methods","SRAM","Conference Paper","This paper presents a Schmitt-trigger-based SRAM with a separated read port, which significantly improves read static noise margin (RSNM) and consumes low energy.","Post-layout simulation results show that the proposed design performed better than the conventional 6T SRAM cell. The SNM of the designed cell is 1.16 mV higher than the conventional 6T SRAM cell in write mode, and 232.37 mV and 207.46 mV in read mode 1 and 0, respectively. The impact of the process, voltage, and temperature variations on cell performance parameters such as read, write and hold SNM, power per access, power per bit, delay, and energy per bit was investigated. Aside from this, the DNM of the cell was also measured to determine the noise tolerance of the cell during the write operation. Monte Carlo simulation results verified how robust the proposed cell is. The design was implemented in a 45-nm technology in which the cell occupies 4.53×4.53 µm2 and the system is 568.55×568.55 µm2. This cell consumes only 0.396 fJ, which is lower than the energy per bit consumed on the 6T conventional cell which is 7.265 fJ. All-corner simulation results show that the proposed cell is suitable for low-power applications."
"A High Resolution And Wide Range Temperature Detector Using 180-nm CMOS Process","September 25, 2023","https://ieeexplore.ieee.org/abstract/document/10332257/","Temperature sensors","Temperature distribution","Integrated circuits","Conference Paper","This paper presents a highly linear and high resolution temperature detector implemented using a typical TSMC 180-nm CMOS process.","It is composed of PTAT & CTAT current generator circuits and a current-to-frequency converter. The PTAT current generator is based on a bandgap reference circuit connected to a cascode current mirror, while the CTAT generator is a current mirror driven by a voltage-to-current circuit. Post-layout simulation shows a detection range of –40° ~ 100°C and a 0.5°C resolution. The maximum linearity error is simulated to be 0.406% for the PTAT/CTAT ratio. The power consumption of the design is 15.4 mW at the maximum output frequency = 4.07 MHz, and the area of 0.682 mm2."
"Passiveless Digitally Controlled Oscillator With Embedded PVT Detector Using 40-nm CMOS","October 24, 2023","https://ieeexplore.ieee.org/abstract/document/10396334/","Phase noise","Process control","Voltage control","Conference Paper","This paper presents a design of a digitally controlled oscillator (DCO) with a build-in PVT (process, voltage, temperature) variation sensor using a 40-nm CMOS process.","The DCO is designed using a 128-stage differential ring oscillator wherein the number of stages is being controlled by an input of 7-bit digital code. It is further realized using serpentine style arrangement to minimize variation on wafer. A multiplexed PVT sensor is integrated to provide a way to feedback for output correction using any auto-calibration strategy, e.g., PID control or artificial intelligent control. A linearized model of the DCO is presented based on the results of the post-layout simulations. The DCO has a dynamic range of 9.9 MHz to 527.43 MHz. The DCO is designed to operate at the frequencies –20 °C to 75 °C. The overall chip consumes 0.235 mW from a 0.9 V supply. The overall chip area is 0.67 mm2 with a core area of 0.05 mm2. The all-PVT-corner post-layout simulations show a highly linear fit for the period vs. input code with the worst R2 of 0.992 in the SS corner at 0.99 V supply and 25 °C."
"A 4-kHz per °C High Linearity On-chip Temperature Sensor Implemented Using 40-nm CMOS Process","November 19, 2023","https://ieeexplore.ieee.org/abstract/document/10740073/","Temperature sensors","Operational amplifiers","Power demand","Conference Paper","In this research, a standard TSMC 40-nm CMOS process is used to implement a highly linear and high resolution temperature sensor.","It is composed of an averaging feedback operational amplifier relaxation oscillator controlled by a PTAT current generator. Post-layout simulations show a detection range of 0° ~ 100°C and a 4 kHz per °C resolution. The maximum linearity error is simulated to be 0.15% at the FF corner and 99.85% linear fit. The power consumption of the design is 0.2015 mW at the maximum output frequency = 1.57MHz, and the area of 5291.5μm2."
"A 1-kb Sub-1 fJ/b Per Access CAM Design Using 40-nm CMOS Process","November 19, 2023","https://ieeexplore.ieee.org/abstract/document/10509947/","Associative memory","Circuits and systems","Simulation","Conference Paper","This investigation presents a low-power content addressable memory (CAM) design using 10T single-ended cells.","It uses the single-ended SRAM cell as a memory unit and a single-ended comparison circuit. By adopting this circuit, the proposed CAM cell is the first to have both the read/write and search operation to be in a single-ended mode. An energy reduction by power gating unused column is also presented in this investigation. The proposed CAM is implemented using the typical TSMC 40-nm CMOS logic process. It has an area of 1.4 × 1.4 mm2 with a core of 0.89 mm2. Simulation results show that the energy per bit per search is 0.938 fJ with a search time of 0.47 ns. An FOM comparison based on the search time, energy per bit per search, and supply voltage also showed that the proposed CAM is the best compared to prior designs."
"A 6.25-MHz 3.4-mW Single Clock DPWM Technique Using Matrix Shift Array","February 26, 2024","https://ieeexplore.ieee.org/abstract/document/10445309/","Clocks","Pulse Width","Dead time","Journal","Recent digital pulsewidth modulation (DPWM) researches use multiple clock inputs and long D flip-flop (DFF) arrays, which makes scaling to different DPWM frequencies challenging.","This brief demonstrates a DPWM that utilizes a single clock and a Matrix shift array, allowing it to be scaled to any frequency and reducing the effects of clock skew. It has a clock gating technique that selects a specific row of DFFs based on the required % duty cycle. The DPWM design has a dead time generator to prevent shoot-throughs. The DPWM has been fabricated using UMC 180-nm CMOS process."
"A 54.61-GOPS 96.35-mW Digital Logic Accelerator For Underwater Object Recognition DNN Using 40-nm CMOS Process","April 22, 2024","https://ieeexplore.ieee.org/abstract/document/10595977/","ANN","Parallel Processing","Streaming Media","Conference Paper","CNN (convolution neural network) and DNN (deep neural network) have been widely used in real-time artificial intelligent (AI) applications, particularly image or video recognitions, because they have been proved physically in many occasions.","However, most prior AI hardware works are either suffered from high on-silicon area cost or low usage thereof. This paper presents a power efficient and high performance implementation of a digital logic accelerator (DLA) for the usage of real-time underwater object recognition. The proposed DLA is also featured with 2-dimentional PE (processing element) array to increase the processing throughput by the enhancement of parallelism. The design was realized and fabricated using TSMC 40-nm CMOS process. Not only the post-layout simulation results are shown, the on-silicon measurement outcome is also demonstrated to prove the function correctness and the performance. The area efficiency (GOPS/mm2) is 4.562, and the power efficiency (TOPS/W) is 0.5668 on silicon, which both are the best to date."
"A Highly Reliable XNOR-XOR-RO PUF Design for IoT Security Applications","May 24, 2024","https://ieeexplore.ieee.org/abstract/document/10576561/","Ring Oscillators","Iot Security","Histograms","Conference Paper","PUFs or Physical Unclonable Function is now an emerging trend for hardware and IoT (internet-of-things) security solutions.","IoT solutions always have a poor security features and are vulnerable to external attacks. Hence, a highly reliable security solution is important for their implementation. This work presents a highly reliable physical unclonable function implemented in an FPGA for use in IoT security. The proposed PUF is implemented in Xilinx ZYNQ 7000 FPGA board and operates at 100 MHz. A novel XNX (XNOR-XOR) Ring Oscillator (RO) PUF with configurable frequency is presented in this report. A statistical measure is used to report the experiments done in the design. The proposed design gives a highly reliable output of 99.86%, uniqueness of 49.90%, and a uniformity of 67.30%. The proposed design offered the most reliable design compared to previous works."
"Trends in Technological Areas using Patent Analytics: A Comparative Study on the Time Series Forecasting of International Patent Classification","October 02, 2024","https://ieeexplore.ieee.org/abstract/document/10775190/","Patent","Smoothing Methods","Time Series Analysis","Conference Paper","Intellectual Properties like Patents, Utility Models, Industrial Designs, and Copyrights are considered the drivers of today’s modern knowledge-based economy. The number of registered and granted Intellectual Properties is one key performance indicator of a state in advancing science and technology.","Thus, analyzing the trends is vital as it sets directions for the state. This study aims to analyze the patent trends in the International Patent Classification by incorporating various classical statistical-based techniques and algorithms in time series forecasting. This leads to the generation of insight into the present and future of registered and granted intellectual properties. Autoregression, Seasonal Autoregressive Integrated Moving-Average and Holt Winter’s Exponential Smoothing are the classical time series forecasting algorithms that were compared using three performance indicators, i.e., Root Mean Square Errors, Mean Absolute Errors, and the Coefficient of Determination. It was concluded that the seasonal autoregressive integrated moving average achieved a high performance of several indicators per section. However, it is vital to consider the behaviour of the present data and the appropriate time series forecasting algorithms for forecasting, thus having it on a case-to-case basis."
"Power Supply for Submerged Camera as Applied to Environmental Monitoring","December 16, 2024","https://ieeexplore.ieee.org/abstract/document/10819568/","Thermal Expansion","Power Supply","Ecosystems","Conference Paper","Underwater monitoring technology is crucial for studying aquatic life, particularly in mangrove ecosystems, which are vital to marine biodiversity.","However, these environments present challenges such as limited power supply and frequent manual battery replacements. To address these issues, a renewable energy-powered supply system was developed for a submersible camera tailored for use in mangrove ecosystems. Various energy sources, including solar, wind, and wave energy, were evaluated, with the most suitable option selected based on energy availability and environmental compatibility. The waterproof prototype was designed for durability and ease of maintenance and tested initially in a controlled pool environment, followed by field deployment in the Lobo, Batangas mangrove area in the Philippines. Key performance aspects, including waterproofing, energy efficiency, and maintenance, were assessed. The system used a commercial utility box with silicone sealant to ensure waterproofing, and voltage and current measurements confirmed the reliable energy supply under varied load conditions. Results demonstrate the system’s capability to meet continuous camera energy needs with minimal intervention, offering an effective solution for long-term underwater monitoring in mangrove ecosystems."
"An on-chip temperature sensor with 0.5 °C resolution and 0.34% linearity error using 180-nm CMOS process","January 24, 2025","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=4967012","High Linearity","CTAT","PTAT", Journal,"This investigation demonstrates an on-chip temperature sensor with a maximum linear error less than 0.4% and 0.5° C resolution.","The design comprises Current-to-Frequency Converters (CFC), complementary (CTAT), and proportional (PTAT) to absolute temperature current generator circuits. Most important of all, the proposed sensor is featured with the ratio of these two currents to enhance the linearity and high resolution. The proposed sensor was realized using a 180-nm CMOS process. The core area is 0.196 mm 2. The measurement results show 0.3484% maximum linearity error for the PTAT/CTAT ratio. The maximum output frequency of the temperature detector is 4.817 MHz, with the highest power consumption of 20.13 mW. It was proved to be used in a–40° C∼ 100° C temperature detection range with 0.5° C resolution."
"A Power-efficient 0.5668 TOPS/W Digital Logic Accelerator Implemented Using 40-nm CMOS Process For Underwater Object Recognition Usage","February 7, 2025","https://ieeexplore.ieee.org/iel8/6287639/6514899/10877824.pdf","Deep Neural Networks (DNN)","Digital Logic Accelerator (DLA)","Object Recognition","Journal","DNN (deep neural network) and CNN (convolution neural network) have been widely used in real-time artificial intelligent (AI) applications, particularly image or video recognitions, because they have been proved physically in many occasions.","However, most prior AI hardware works are either suffered from high on-silicon area cost or low usage thereof. This investigation presents a power efficient and high performance implementation of a digital logic accelerator (DLA) for the underwater real-time underwater object recognition. The proposed DLA is also featured with 2-dimensional PE (processing element) array to increase the processing throughput by the enhancement of parallelism. The DLA design was realized and fabricated using TSMC 40-nm CMOS process."
"A negative voltage generator with 4-stage configurable parallel switching for smart window film applications","July 3, 2023","https://www.researchgate.net/profile/Lean-Karlo-Tolentino/publication/371916903_A_Negative_Voltage_Generator_with_4-Stage_Configurable_Parallel_Switching_for_Smart_Window_Film_Applications/links/64c8ff544ce9131cd57d2a3a/A-Negative-Voltage-Generator-with-4-Stage-Configurable-Parallel-Switching-for-Smart-Window-Film-Applications.pdf","Charge Pump","4-phase clocking","HV BCD","Conference Paper","A negative voltage generator was developed that can be used in the drivers of smart window films (SWF), which have typical operating voltages of +8 to +10 V.","It consists of 4 Negative Charge Pump (NCP) stages and a 4-phase non-overlapping Clock Generator (CG), where the 4 NCP stages are configurable by external digital signals. This generates a wide output voltage range necessary to control different SWF modes, such as opaque, transparent, and tinted modes. TSMC 0.18-µm HV BCD (High-Voltage Bipolar-CMOS-DMOS) process was used to fabricate the proposed negative voltage generator on silicon. Measurement results demonstrate that at switching frequency (fsw) = 20 MHz, supplied voltage (VDD) = 4.5 V, and Vin = GND, it generates a wide output voltage range of -3.9 to -14.0 V, achieving the widest voltage range among the prior works, which covers the required negative voltage range for SWF usages. The peak efficiency is measured on silicon to be 58.08%."
